"tcin","type","id","gtin","sort_by","search_term","category_id","url","customer_zipcode","page","max_page","delivery_type","include_out_of_stock","facets","reviewer_type","review_stars","review_media_type","store_stock_zipcode","only_in_stock"
 "87246359","product",,,,,,,,,,,,,,,,,
 "87662929","product",,,,,,,,,,,,,,,,,
 "13352694","product",,,,,,,,,,,,,,,,,
 "81504859","product",,,,,,,,,,,,,,,,,
 "81476036","product",,,,,,,,,,,,,,,,,
 "53319186","product",,,,,,,,,,,,,,,,,
 "53319207","product",,,,,,,,,,,,,,,,,
 "81504864","product",,,,,,,,,,,,,,,,,
 "13356625","product",,,,,,,,,,,,,,,,,
 "81504863","product",,,,,,,,,,,,,,,,,
 "14905173","product",,,,,,,,,,,,,,,,,
 "87579215","product",,,,,,,,,,,,,,,,,
 "13332021","product",,,,,,,,,,,,,,,,,
 "84271659","product",,,,,,,,,,,,,,,,,
 "14770128","product",,,,,,,,,,,,,,,,,
 "53319198","product",,,,,,,,,,,,,,,,,
 "52925180","product",,,,,,,,,,,,,,,,,
 "81504855","product",,,,,,,,,,,,,,,,,
 "87579219","product",,,,,,,,,,,,,,,,,
 "81504849","product",,,,,,,,,,,,,,,,,
 "81491127","product",,,,,,,,,,,,,,,,,
 "13493042","product",,,,,,,,,,,,,,,,,
 "15389493","product",,,,,,,,,,,,,,,,,
 "81504848","product",,,,,,,,,,,,,,,,,
 "81476038","product",,,,,,,,,,,,,,,,,
 "31173125","product",,,,,,,,,,,,,,,,,
 "53015019","product",,,,,,,,,,,,,,,,,
 "81406355","product",,,,,,,,,,,,,,,,,
 "54350557","product",,,,,,,,,,,,,,,,,
 "81504847","product",,,,,,,,,,,,,,,,,
 "81491105","product",,,,,,,,,,,,,,,,,
 "78389849","product",,,,,,,,,,,,,,,,,
 "15418964","product",,,,,,,,,,,,,,,,,
 "15417440","product",,,,,,,,,,,,,,,,,
 "78389931","product",,,,,,,,,,,,,,,,,
 "84271660","product",,,,,,,,,,,,,,,,,
 "53319196","product",,,,,,,,,,,,,,,,,
 "54153930","product",,,,,,,,,,,,,,,,,
 "81425006","product",,,,,,,,,,,,,,,,,
 "81504857","product",,,,,,,,,,,,,,,,,
 "14963242","product",,,,,,,,,,,,,,,,,
 "15418063","product",,,,,,,,,,,,,,,,,
 "23974823","product",,,,,,,,,,,,,,,,,
 "54153935","product",,,,,,,,,,,,,,,,,
 "53319204","product",,,,,,,,,,,,,,,,,
 "13291472","product",,,,,,,,,,,,,,,,,
 "14770997","product",,,,,,,,,,,,,,,,,
 "90510706","product",,,,,,,,,,,,,,,,,
 "50268628","product",,,,,,,,,,,,,,,,,
 "78389942","product",,,,,,,,,,,,,,,,,
 "50368861","product",,,,,,,,,,,,,,,,,
 "15431983","product",,,,,,,,,,,,,,,,,
 "84271658","product",,,,,,,,,,,,,,,,,
 "80946849","product",,,,,,,,,,,,,,,,,
 "78389862","product",,,,,,,,,,,,,,,,,
 "13331151","product",,,,,,,,,,,,,,,,,
 "84271661","product",,,,,,,,,,,,,,,,,
 "81504871","product",,,,,,,,,,,,,,,,,
 "81493718","product",,,,,,,,,,,,,,,,,
 "80139600","product",,,,,,,,,,,,,,,,,
 "54444431","product",,,,,,,,,,,,,,,,,
 "90510718","product",,,,,,,,,,,,,,,,,
 "14941643","product",,,,,,,,,,,,,,,,,
 "83360303","product",,,,,,,,,,,,,,,,,
 "14941642","product",,,,,,,,,,,,,,,,,
 "86795410","product",,,,,,,,,,,,,,,,,
 "86795428","product",,,,,,,,,,,,,,,,,
 "81425793","product",,,,,,,,,,,,,,,,,
 "81504854","product",,,,,,,,,,,,,,,,,
 "14770542","product",,,,,,,,,,,,,,,,,
 "14937603","product",,,,,,,,,,,,,,,,,
 "85378093","product",,,,,,,,,,,,,,,,,
 "51989269","product",,,,,,,,,,,,,,,,,
 "12935526","product",,,,,,,,,,,,,,,,,
 "15014055","product",,,,,,,,,,,,,,,,,
 "13356891","product",,,,,,,,,,,,,,,,,
 "86902711","product",,,,,,,,,,,,,,,,,
 "23974815","product",,,,,,,,,,,,,,,,,
 "14285202","product",,,,,,,,,,,,,,,,,
 "84266277","product",,,,,,,,,,,,,,,,,
 "90306646","product",,,,,,,,,,,,,,,,,
 "13352459","product",,,,,,,,,,,,,,,,,
 "81493717","product",,,,,,,,,,,,,,,,,
 "81491471","product",,,,,,,,,,,,,,,,,
 "80139603","product",,,,,,,,,,,,,,,,,
 "13752632","product",,,,,,,,,,,,,,,,,
 "84266281","product",,,,,,,,,,,,,,,,,
 "78390008","product",,,,,,,,,,,,,,,,,
 "13331191","product",,,,,,,,,,,,,,,,,
 "53010129","product",,,,,,,,,,,,,,,,,
 "81502606","product",,,,,,,,,,,,,,,,,
 "15022511","product",,,,,,,,,,,,,,,,,
 "81970117","product",,,,,,,,,,,,,,,,,
 "78389936","product",,,,,,,,,,,,,,,,,
 "15557797","product",,,,,,,,,,,,,,,,,
 "15022520","product",,,,,,,,,,,,,,,,,
 "14768605","product",,,,,,,,,,,,,,,,,
 "90306565","product",,,,,,,,,,,,,,,,,
 "13332641","product",,,,,,,,,,,,,,,,,
 "81552732","product",,,,,,,,,,,,,,,,,
 "31173191","product",,,,,,,,,,,,,,,,,
 "14909438","product",,,,,,,,,,,,,,,,,
 "15346584","product",,,,,,,,,,,,,,,,,
 "13052281","product",,,,,,,,,,,,,,,,,
 "90209726","product",,,,,,,,,,,,,,,,,
 "14938760","product",,,,,,,,,,,,,,,,,
 "81502604","product",,,,,,,,,,,,,,,,,
 "14941466","product",,,,,,,,,,,,,,,,,
 "81540100","product",,,,,,,,,,,,,,,,,
 "13352696","product",,,,,,,,,,,,,,,,,
 "81504860","product",,,,,,,,,,,,,,,,,
 "80937948","product",,,,,,,,,,,,,,,,,
 "47106248","product",,,,,,,,,,,,,,,,,
 "16875667","product",,,,,,,,,,,,,,,,,
 "80937949","product",,,,,,,,,,,,,,,,,
 "84272167","product",,,,,,,,,,,,,,,,,
 "81504858","product",,,,,,,,,,,,,,,,,
 "90372315","product",,,,,,,,,,,,,,,,,
 "15418463","product",,,,,,,,,,,,,,,,,
 "84272052","product",,,,,,,,,,,,,,,,,
 "81491345","product",,,,,,,,,,,,,,,,,
 "52651933","product",,,,,,,,,,,,,,,,,
 "13026777","product",,,,,,,,,,,,,,,,,
 "14941790","product",,,,,,,,,,,,,,,,,
 "84272071","product",,,,,,,,,,,,,,,,,
 "14938757","product",,,,,,,,,,,,,,,,,
 "14770107","product",,,,,,,,,,,,,,,,,
 "15022513","product",,,,,,,,,,,,,,,,,
 "54581336","product",,,,,,,,,,,,,,,,,
 "78389873","product",,,,,,,,,,,,,,,,,
 "51354096","product",,,,,,,,,,,,,,,,,
 "81504873","product",,,,,,,,,,,,,,,,,
 "14941789","product",,,,,,,,,,,,,,,,,
 "81504868","product",,,,,,,,,,,,,,,,,
 "79390761","product",,,,,,,,,,,,,,,,,
 "13518693","product",,,,,,,,,,,,,,,,,
 "87113177","product",,,,,,,,,,,,,,,,,
 "81425802","product",,,,,,,,,,,,,,,,,
 "52951392","product",,,,,,,,,,,,,,,,,
 "13291466","product",,,,,,,,,,,,,,,,,
 "13291467","product",,,,,,,,,,,,,,,,,
 "14770130","product",,,,,,,,,,,,,,,,,
 "81496387","product",,,,,,,,,,,,,,,,,
 "13291468","product",,,,,,,,,,,,,,,,,
 "76550906","product",,,,,,,,,,,,,,,,,
 "81504852","product",,,,,,,,,,,,,,,,,
 "78389920","product",,,,,,,,,,,,,,,,,
 "81502607","product",,,,,,,,,,,,,,,,,
 "81502605","product",,,,,,,,,,,,,,,,,
 "50247045","product",,,,,,,,,,,,,,,,,
 "15416205","product",,,,,,,,,,,,,,,,,
 "78389875","product",,,,,,,,,,,,,,,,,
 "81540099","product",,,,,,,,,,,,,,,,,
 "83607870","product",,,,,,,,,,,,,,,,,
 "51989264","product",,,,,,,,,,,,,,,,,
 "15557799","product",,,,,,,,,,,,,,,,,
 "51909897","product",,,,,,,,,,,,,,,,,
 "13353288","product",,,,,,,,,,,,,,,,,
 "51989274","product",,,,,,,,,,,,,,,,,
 "54581350","product",,,,,,,,,,,,,,,,,
 "14938758","product",,,,,,,,,,,,,,,,,
 "17234953","product",,,,,,,,,,,,,,,,,
 "90510740","product",,,,,,,,,,,,,,,,,
 "13493654","product",,,,,,,,,,,,,,,,,
 "78390015","product",,,,,,,,,,,,,,,,,
 "13220941","product",,,,,,,,,,,,,,,,,
 "14769092","product",,,,,,,,,,,,,,,,,
 "12935351","product",,,,,,,,,,,,,,,,,
 "31173176","product",,,,,,,,,,,,,,,,,
 "17243117","product",,,,,,,,,,,,,,,,,
 "13752634","product",,,,,,,,,,,,,,,,,
 "15416214","product",,,,,,,,,,,,,,,,,
 "15417444","product",,,,,,,,,,,,,,,,,
 "15022512","product",,,,,,,,,,,,,,,,,
 "14940707","product",,,,,,,,,,,,,,,,,
 "14938759","product",,,,,,,,,,,,,,,,,
 "50262508","product",,,,,,,,,,,,,,,,,
 "50521978","product",,,,,,,,,,,,,,,,,
 "15418963","product",,,,,,,,,,,,,,,,,
 "81476040","product",,,,,,,,,,,,,,,,,
 "13291474","product",,,,,,,,,,,,,,,,,
 "81540101","product",,,,,,,,,,,,,,,,,
 "84271549","product",,,,,,,,,,,,,,,,,
 "14941636","product",,,,,,,,,,,,,,,,,
 "13285438","product",,,,,,,,,,,,,,,,,
 "13376390","product",,,,,,,,,,,,,,,,,
 "14568314","product",,,,,,,,,,,,,,,,,
 "90209788","product",,,,,,,,,,,,,,,,,
 "13728672","product",,,,,,,,,,,,,,,,,
 "13291470","product",,,,,,,,,,,,,,,,,
 "78394158","product",,,,,,,,,,,,,,,,,
 "54212984","product",,,,,,,,,,,,,,,,,
 "81425789","product",,,,,,,,,,,,,,,,,
 "15418422","product",,,,,,,,,,,,,,,,,
 "14836488","product",,,,,,,,,,,,,,,,,
 "54581355","product",,,,,,,,,,,,,,,,,
 "14840624","product",,,,,,,,,,,,,,,,,
 "81608522","product",,,,,,,,,,,,,,,,,
 "14938756","product",,,,,,,,,,,,,,,,,
 "14940709","product",,,,,,,,,,,,,,,,,
 "51989271","product",,,,,,,,,,,,,,,,,
 "87543902","product",,,,,,,,,,,,,,,,,
 "12955065","product",,,,,,,,,,,,,,,,,
 "87543906","product",,,,,,,,,,,,,,,,,
 "52568061","product",,,,,,,,,,,,,,,,,
 "81425801","product",,,,,,,,,,,,,,,,,
 "78389925","product",,,,,,,,,,,,,,,,,
 "31173171","product",,,,,,,,,,,,,,,,,
 "15557795","product",,,,,,,,,,,,,,,,,
 "51989270","product",,,,,,,,,,,,,,,,,
 "90306605","product",,,,,,,,,,,,,,,,,
 "78394165","product",,,,,,,,,,,,,,,,,
 "13353118","product",,,,,,,,,,,,,,,,,
 "31173536","product",,,,,,,,,,,,,,,,,
 "81504853","product",,,,,,,,,,,,,,,,,
 "54009045","product",,,,,,,,,,,,,,,,,
 "15617553","product",,,,,,,,,,,,,,,,,
 "84207188","product",,,,,,,,,,,,,,,,,
 "14836491","product",,,,,,,,,,,,,,,,,
 "81425943","product",,,,,,,,,,,,,,,,,
 "81502609","product",,,,,,,,,,,,,,,,,
 "47106167","product",,,,,,,,,,,,,,,,,
 "54575911","product",,,,,,,,,,,,,,,,,
 "85787279","product",,,,,,,,,,,,,,,,,
 "81406357","product",,,,,,,,,,,,,,,,,
 "84207186","product",,,,,,,,,,,,,,,,,
